"Manufacturer Part Number","Reference Designator","Quantity","Unit Price","Description"
"ECA-1HHG222","C2/C4","2","1.80000","CAP ALUM 2200UF 20% 50V RADIAL"
"ECA-1HHG470","C1/C3","2","0.29000","CAP ALUM 47UF 20% 50V RADIAL"
"1984617","LS1/LS2","2","0.48000","TERM BLK 2POS SIDE ENT 3.5MM PCB"
"SJ1-3523NG","J1","1","0.79000","CONN JACK STEREO 3.5MM R/A"
"PJ-037A","J2","1","0.58000","CONN PWR JACK 2X5.5MM SOLDER"
"BD13916S","Q2/Q3/Q5/Q6","4","0.49000","TRANS NPN 80V 1.5A TO-126"
"PN2222ABU","Q1/Q4","2","0.29000","TRANS NPN 40V 1A TO-92 CASE"
"CFR-25JB-52-11R","R1/R6","2","0.10000","RES 11 OHM 1/4W 5% AXIAL"
"CFR-25JB-52-2K2","R3/R8","2","0.10000","RES 2.2K OHM 1/4W 5% AXIAL"
"CFR-25JB-52-330R","R4/R9","2","0.10000","RES 330 OHM 1/4W 5% AXIAL"
"CFR-25JB-52-620R","R2/R7","2","0.10000","RES 620 OHM 1/4W 5% AXIAL"
"SQP10AJB-16R","R5/R10","2","0.85000","RES 16 OHM 10W 5% AXIAL"
